employee_id,first_name,last_name,job_title,department,hire_date,performance_rating
35defbba-d15d-4f35-a7dd-f3b293df5d05,Kip,Trimnell,Technical Support Specialist,Engineering,2023-08-15,5
6be0b116-7ebc-4736-88da-61d8b051380e,Celestina,Musson,Software Tech,Sales,2025-04-23,9
b7c9df0d-1143-4190-8cfb-2b3b2c34eafa,Kippie,Wiltshaw,Support Agent,Fulfillment,2022-04-04,6
6e8d8ba4-96ee-4e19-862a-5591123355be,Amos,Ismay,Customer Success Specialist,Operations,2025-04-19,6
f62b085a-4273-40d7-930c-9363e4c2b63e,Evvy,Youthead,Operations Lead,IT,2023-09-03,8
1153d6e6-c425-4755-b4e8-03718ecef97d,Yvette,Barstowk,Account Executive,Human Resources,2021-06-18,9
93355aaa-ac7b-4756-a3bc-72044ee36119,Brier,Francesch,Product Coordinator,Sales,2021-10-08,9
eb545097-2e1c-4883-b87b-ba001eb6ea80,Billie,Langelaan,Robotics Tech 1,Operations,2023-06-02,9
5f76f32a-6b5b-47f8-8f35-9cbd80a66ce0,Debbi,Packman,Robotics Tech 2,Engineering,2024-11-03,9
1d48193c-5c2e-4f94-9978-10a18ddddc4a,Francoise,Ogan,Regional Manager,Administration,2022-05-04,9
deac9d93-d0c9-4678-8fa6-469fe1e06ae9,Dinah,Rabb,Fulfillment Staff,Legal,2023-01-21,7
2b55bd44-8a69-4d12-af1c-ebaf356079d5,Gates,Ralling,Technical Support Specialist,Support,2022-08-04,6
d5db431c-86dd-4ade-abaf-2aacc9915058,Justino,Knowler,Sales Manager,Fulfillment,2024-11-10,6
43c3b5af-5f31-4d68-9f45-d1ff6faa93a2,Lonny,Sandeson,Operations Lead,Customer Service,2023-11-26,7
75971230-84b4-41cd-9084-8355d8e3127c,Walt,Langabeer,Support Agent,IT,2024-02-12,7
4679cfe6-dedf-4e46-a14c-798cc88891bf,Megan,Zold,Robotics Tech 1,Marketing,2025-03-07,7
97d93783-9aac-4316-b032-b37bafb58240,Casar,Jacks,Account Executive,Finance,2021-10-10,5
46ecc203-1729-48a9-9862-c57f1bc28eee,Marcellus,Laxston,Regional Manager,Human Resources,2023-07-11,8
05f44ac0-661d-4167-a759-714ed6c25eaf,Ellie,Brennan,Warehouse Associate,Operations,2024-05-11,8
966319f2-99f6-450f-aeca-035f7aa1101e,Thornton,Scrafton,Administrative Assistant,Administration,2022-02-04,7
70cc2930-030a-497b-88c0-dfd41df82c6a,Austen,Talton,Product Coordinator,Customer Service,2021-11-14,8
10415453-7a4e-494b-8f3d-56727fb344ab,Bertie,Filasov,Robotics Tech 2,Engineering,2022-05-17,5
5b7e26d4-ff38-4919-9f83-cdb4977414cb,Tyrone,Klagges,Customer Success Specialist,Fulfillment,2025-04-14,7
444c41ab-c792-445c-91ec-d24c7007754d,Elisha,Mourant,Software Tech,Support,2021-05-09,8
f7c84aa7-67a9-4d8d-95d4-197a3a3598b3,Karl,Kenworthey,Fulfillment Staff,IT,2024-10-29,8
63ff031b-1b1f-4b83-89f3-66f0f59926ed,Grady,Gallally,Robotics Tech 3,Sales,2024-06-09,6
af4ea90a-1104-4850-9a6b-deb872a1f6b2,Burl,Jennery,Robotics Tech 2,Finance,2022-05-27,7
e134edb8-c3d3-4e8d-88a6-97a7f9cb3968,Olia,Morley,Robotics Tech 1,Legal,2021-12-31,7
71ba5dde-a67f-4803-82a0-0b6256f3b899,Benson,Smoth,Technical Support Specialist,Marketing,2025-03-26,5
6c4a584e-8278-4620-a9a3-5992008ac3e5,Theresa,Derrington,Fulfillment Staff,Finance,2021-05-25,6
be34b0e4-285b-485c-a332-c3e914dde8d2,Isabelle,Wanley,Warehouse Associate,Administration,2021-04-03,8
adbae86f-d4b5-4fca-ad7b-01399ee42f87,Jaime,Greetland,Product Coordinator,Legal,2021-01-06,5
78abb2c2-3145-41e1-962e-1acd9172b6b3,Ariella,Jesty,Robotics Tech 3,Sales,2023-08-27,6
3f86dbd1-0183-4443-b416-d0edfb54a8d9,Paddy,Wrates,Sales Manager,Human Resources,2023-02-06,6
169765cf-76df-4c37-82b2-5d5de7280efa,Lucais,Habben,Regional Manager,Engineering,2025-03-06,7
36e93a99-256b-4633-a8c6-1c2d2a8216b1,Lurline,Andersch,Operations Lead,Marketing,2024-12-04,9
9d038ac4-c63d-449a-9c77-d569cc39aae8,Elsie,Sherrin,Account Executive,Fulfillment,2023-09-11,7
d935bf7a-6a22-42b3-af34-c173f981daf5,Bobinette,Semkins,Software Tech,Operations,2022-07-24,5
ae0e8224-2f45-4304-b84f-37bbdd84b3c0,Towny,Metherell,Customer Success Specialist,Customer Service,2022-05-09,8
18e95323-7d30-4501-bf6b-6d923ca2dba8,Marinna,Bacchus,Administrative Assistant,Support,2021-06-05,9
28feea4f-ba84-45a6-a8a8-2463d8a4df82,Kai,Laba,Support Agent,IT,2024-06-07,8
63b99e7b-e8ad-459f-b32e-838ea38c41e1,Joleen,Bythway,Robotics Tech 2,Fulfillment,2024-04-21,5
579325bb-df65-49d2-9752-f93d552a8ac6,Felice,Scamadine,Technical Support Specialist,Operations,2024-05-30,5
a846d30c-0eae-483d-87de-3ddac2bdb006,Veronika,Yushmanov,Operations Lead,IT,2023-08-17,6
