territory_id,territory_name,region_manager_name,region_manager_email,region_manager_phone,active_customers,total_sales,is_active
87574411-fc3c-43df-90d3-f37e62009c14,Mid-Atlantic,Mildrid Goaks,mildrid.goaks@live.com,(716) 466-9926,49,977057.00,t
325e40a9-bd07-47c7-998c-aea94285c5d8,Central,Cammie McNess,cammie.mcness@yahoo.co.uk,(301) 808-1718,98,571200.00,t
bcd269bb-d8b4-4afc-88e6-814d7b25bf34,Pacific Coast,Consolata Alyutin,consolata.alyutin@yahoo.com,(412) 915-5400,53,474057.00,t
977267aa-87dd-4b00-8f83-c6001d2664a5,Southeast,Ewell Breslin,ewell.breslin@yahoo.com,(408) 925-8639,24,395201.00,t
5a3dcc23-1d94-4791-adad-b8e60a7b8b58,Mid-Atlantic,Shelby Rebert,shelby.rebert@aim.com,(989) 812-5602,26,801588.00,t
22976bbc-480f-471a-9285-f249f8b9c755,Central,Raddy Elphey,raddy.elphey@msn.com,(912) 034-5538,32,875047.00,t
aa393060-dc68-480a-81d8-0280db80768c,Pacific Coast,Shandra Chatten,shandra.chatten@hotmail.it,(540) 244-6638,84,773865.00,t
8a534587-257d-403a-b9a0-4f2f703de5bb,Midwest,Durant Barwise,durant.barwise@gmail.com,(971) 647-5855,95,678091.00,f
14b3ba5d-b6eb-4368-b9b6-7ba0a50faa32,Mountain Region,Gram Geeves,gram.geeves@aol.com,(775) 259-0872,46,883741.00,t
df55b4e5-9ad1-4286-ae87-86dd5c2bd24f,Northeast,Fan Gooders,fan.gooders@yahoo.com,(717) 416-3495,90,487841.00,t
9c9ffd70-75e5-49aa-9f7a-9b5eaea09078,Great Lakes,Cal Fossett,cal.fossett@hotmail.com,(610) 105-0317,36,439558.00,t
e81f6a69-2d0c-404c-81e7-d698e4306ee3,Southwest,Nada Lared,nada.lared@yahoo.com,(614) 724-3595,59,485887.00,t
ac399494-0223-43fa-9aba-bf281570e065,Northwest,Lonnie Patron,lonnie.patron@yahoo.com.mx,(419) 811-8873,112,374085.00,t
24c1d982-558d-4384-9e28-9bea62feced4,Midwest,Carilyn Benian,carilyn.benian@hotmail.com,(562) 820-8999,105,893318.00,t
5570691d-4391-41b8-8a7d-b028099eb72b,Southwest,Haydon Denslow,haydon.denslow@hotmail.com,(515) 332-0060,27,358044.00,t
5212159a-232b-46a1-b9bd-5ad98b86a8b9,Southeast,Bette Blease,bette.blease@hotmail.fr,(330) 609-5500,66,366273.00,t
3bc30e45-fdf1-47d7-b928-b4911632c422,Great Lakes,Moses De Rye Barrett,moses.deryebarrett@hotmail.com,(816) 778-4400,103,706828.00,t
c90c2abf-3d3b-472b-a015-c58cd75c0e3b,Pacific Coast,Tanya Kittles,tanya.kittles@hotmail.fr,(240) 441-0808,19,960301.00,t
50308fab-86c5-4157-a85d-e9884976b38b,Central,Ky Davidovitz,ky.davidovitz@gmail.com,(515) 623-8809,85,839352.00,t
bc811ab4-56ea-4b37-88c0-83596265b891,Northwest,Buddy Erangy,buddy.erangy@yahoo.com,(508) 120-2107,29,423157.00,t
ccafce14-9f4d-47d1-8bb9-a5a59fb461e4,Mountain Region,James Reck,james.reck@yahoo.co.uk,(914) 645-5396,72,851426.00,t
91bb5bc6-df69-437f-9a68-ca007c39962d,Mid-Atlantic,Zeke Smithson,zeke.smithson@yahoo.com,(317) 685-0461,15,800918.00,t
e5b4a065-2b03-4782-9f11-65d3d30bba83,Northeast,Base Priver,base.priver@gmail.com,(209) 906-1678,42,587864.00,t
4531ae8f-e3ed-4df5-b8e4-48a6cbd56911,Great Lakes,Zarla Freda,zarla.freda@gmail.com,(509) 214-1315,26,395701.00,t
87eeac0d-f056-439b-9dc3-c54fc6247957,Northwest,Ignacius Dedden,ignacius.dedden@voila.fr,(228) 810-8214,32,729054.00,t
89b7983a-46c6-43d8-a39b-9719360d339e,Mid-Atlantic,Alica Pulhoster,alica.pulhoster@msn.com,(214) 408-6730,38,331704.00,t
688ae43d-8d17-4b5e-b6de-056c951b33d9,Central,Arabele Searchfield,arabele.searchfield@hotmail.fr,(603) 460-5348,73,803812.00,f
63d6c7c6-e9d4-47a8-80cf-b88421fc753b,Southeast,Marcy Cattel,marcy.cattel@hotmail.com,(830) 290-0158,29,999548.00,t
083a17c6-7043-4971-b583-da023e3b1ff2,Midwest,Kayley Walicki,kayley.walicki@hotmail.com,(352) 304-6869,46,739747.00,t
c098c78d-f704-499d-b419-ccd83b164bf1,Southwest,Bernette Blowen,bernette.blowen@yahoo.com,(210) 514-5539,111,415603.00,t
1ca3c98d-da1c-4eb5-83bb-b71acb4831d2,Mountain Region,Judi Eastmond,judi.eastmond@gmail.com,(949) 635-2590,36,660495.00,t
